ShopName
爾遇Dolce Vita(最新菜單請見臉書或IG)·開啟過的連結
重慶故事金湯酸菜魚永華旗艦館
夢東籬-永華店
3皇3家-億載店
Visions Bistro 微醺餐酒館安平創始店 / 亞果遊艇俱樂部景觀餐廳(台南景觀餐廳 台南餐酒館 漁光島美食 安平美食 安平餐酒館)
吾亦私永華店
弄 Relationship
IMOMENT CAFÉ 享當下 台南旗艦店 （安平網美咖啡廳|熱門早午餐|網美早午餐|人氣餐廳|在地推薦餐廳|人氣早午餐|輕食下午茶）
兜好麥鷄/土雞料理/安平美食/安平小吃/安平餐廳/安平restaurants/台南美食推薦/小甕土雞湯/桶子雞/鹽焗雞
天塩川和室鍋物 ｜ 獨立包廂、親子友善餐廳
光合箱子 台南店
養蚵世家
漁光島荳荳園
逸隱軒人文茶坊
米約廚房 Mi Yueh Kitchen(無接待七歲以下兒童）
芙蓉食堂
森島繪本咖啡屋|親子|輕食|鬆餅|繪本|親子餐廳|
SIOU JHIH秀枝餐飲-永華店
福豆屋安平旗艦店
欣雅川菜館
好好吃牛排館
凱荳寵物家庭餐廳
椿之味薏仁湯
洁洁永華店
滿玥軒
波哥誠品安平店
台南美食 牛園火鍋-安平店
炸雞洋行 安平店
Beew Cafe 咖啡輕食餐廳
慶平海產
同記安平豆花(安平2店)
漁光島元圓餐飲店(蚵仔煎停售）
周氏蝦捲 老店
寓･永恆
Second Floor 貳樓台南店
東牧景觀餐廳
府城食府正宗台南料理-安平總店
安平漁家
丹丹漢堡 安平店
老廣粵 花雕雞創意坊
安平港海鮮餐廳
椰庭餐廳（店休請看FB/IG)
JiNHER 今鶴 - 義式餐酒館台南安平店
謝掌櫃虱目魚海鮮粥［安平總店］
威尼斯Venice餐廳
津昌貨櫃碼頭/安平熱炒/美食/附近美食/restaurants/吃的/必吃
Woopen木盆 安平加盟門市
橄饗家西班牙嚴選美食餐廳Como en casa gourmet
Jacky Bistro
瑪莉洋房 義法料理
雛菊餐桌-台南府前店
居心地安平
老城門 佰元鍋物 台南火鍋 安平美食
天馬星空餐酒館 Bistro Tian Ma Xing Kong ｜親子友善、寵物友善餐廳
港式灣仔小棧-安平
海之味
天台餐酒館
April-7平價美食餐廳
家根創意酒肴-安平旗艦店
丸亀製麵 家樂福安平店 烏龍麵餐廳
請上桌 戶外海景海鮮燒烤餐廳
紅點茶樓
AN cafe' 安佐珈琲 (不開放香水味過重入店內用及無接待未滿五歲孩童）
湖光餐廳
海牙館
睦月堂 日本料理
饗麻饗辣 台南永華旗艦店
安平果然是你
苗圃義大利餐廳台南店
吳記鮮蝦餅－傳統小吃 純手工 安平小吃 伴手禮 鮮蝦餅 安心美食 送禮首選 平價 巷弄美食 隱藏版美食 銅板美食 2024評價 高CP值
The Ground House 角屋1236
彩豐樓
東北酸白菜火煱 / 台南安平火鍋 / 酸菜白肉鍋 / 酸白鍋/附設素食鍋/原肉塊切片火鍋/海鮮火鍋/酸辣鍋
皮亞諾義式料理餐廳
L'herbe 香草小餐酒（請至inline系統預約）
湖美海鮮.熱炒.鵝肉.合菜料理
韓福館 韓式料理 葷素餐廳
五村燕餃 (虎尾寮加盟店)
滿溢火鍋 (台南安南店)
鳳餃焼きギョザ
貴族世家 (台南佳里鮮饌館)
阿宝建平店
和偉麵館
鐵飯碗便當
廷希麵家
武町日式丼飯
Ho達串燒酒場
和緣日式料理
茶丸人日式專賣店 (台南中華店)
春禾日式鍋物X厚和牛專賣
究-SHO石燒拉麵 (台南麻豆貳店)
福岡博多拉麵
丼飯堂 (台南開元店)
豚將拉麵 (公園店)
A咖熊幸福鐵道景觀餐廳
阿蘭泰式
大林泰饌堂
泰開心廚房
小老闆燉豬麵
Bitch fryfry (台南店)
泰碳吉小廚
泰椰 TAIYA 新泰式料理 (南紡店)
泰膳娘泰式料理
泰辣泰式料理
永世王朝薑母鴨泰炒
好好吃牛排餐車 (仁德文賢店)
感性牛排一號店
我家牛排 (台南後甲店)
醬醬披薩 Big John Pizza
漢堡鬥比薩
壓扁饅頭
Marco Pizza Jacob's store
焗的飽平價義式料理 (台南林森店)
比爾樂仕美式餐廳
費拉義式餐酒館
萬八廣東腸粉 (台南善化店)
豬剛鬣脆皮豬-港式油雞.炒飯.輕食沙拉
港軒燒臘店
楓茶記冰火菠蘿油 (台南勝利店)
Humanity 有人性港式車仔麵 (崑大站)
盛記點心茶餐廳
東山古腸新 古早味糯米大腸
叁仰港式小館
大佳港式燒臘便當
可口港式粥品
零負擔波奇沙拉專賣店 (台南中華店)
鮮煮食健康廚房
饗來健康餐盒
媽媽好忙健康餐盒
