[16, 28, 112, 52, 46, 108, 107, 113, 63, 73, 50, 109, 118, 110, 101]
[97, 128, 15, 81, 77, 155, 83, 61, 37, 59, 54, 51, 140, 12, 139]
[26, 127, 137, 78, 130, 56, 133, 121, 120, 38, 124, 49, 91, 89, 93]
[28, 52, 108, 46, 107, 113, 65, 64, 63, 114, 50, 118, 110, 111, 47]
[37, 59, 54, 123, 138, 170, 82, 133, 125, 35, 84, 135, 5, 166, 139]
[163, 27, 96, 105, 79, 100, 99, 104, 58, 149, 44, 135, 136, 116, 129]
[51, 123, 77, 82, 19, 124, 130, 120, 158, 47, 80, 136, 139, 57, 5]
[27, 87, 105, 79, 99, 100, 104, 58, 149, 44, 135, 136, 75, 81, 15]
[163, 90, 166, 105, 79, 99, 100, 58, 149, 44, 135, 136, 15, 81, 75]
[17, 26, 134, 9, 42, 88, 137, 125, 130, 122, 56, 133, 121, 120, 38]
[18, 62, 42, 125, 48, 130, 92, 122, 56, 133, 121, 124, 38, 89, 49]
[93, 49, 55, 38, 95, 173, 67, 88, 128, 116, 121, 146, 147, 129, 62]
[91, 94, 101, 55, 83, 49, 116, 38, 70, 89, 86, 148, 98, 60, 115]
[127, 9, 42, 125, 78, 48, 92, 120, 124, 38, 91, 49, 89, 93, 86]
[101, 55, 95, 94, 62, 18, 98, 70, 173, 67, 48, 9, 17, 42, 128]
[18, 9, 62, 78, 137, 130, 48, 88, 92, 122, 56, 121, 124, 86, 15]
[16, 112, 28, 119, 107, 68, 113, 65, 64, 73, 63, 114, 109, 111, 149]
[103, 90, 87, 166, 96, 79, 100, 99, 104, 149, 44, 135, 136, 81, 15]
[30, 119, 52, 68, 107, 64, 114, 50, 118, 110, 111, 101, 47, 149, 44]
[27, 103, 90, 87, 100, 99, 104, 58, 149, 44, 135, 136, 15, 81, 61]
[18, 134, 62, 48, 92, 122, 56, 120, 86, 91, 38, 15, 81, 54, 37]
[101, 49, 38, 116, 155, 89, 70, 117, 86, 98, 148, 143, 92, 149, 44]
[12, 140, 141, 31, 8, 6, 19, 60, 124, 78, 136, 153, 57, 135, 121]
[38, 95, 89, 92, 94, 173, 67, 88, 70, 98, 128, 116, 147, 129, 146]
[30, 101, 52, 16, 112, 108, 28, 73, 107, 113, 46, 91, 119, 50, 68]
[55, 95, 89, 94, 88, 173, 67, 98, 129, 128, 116, 121, 147, 62, 18]
[129, 30, 16, 112, 28, 119, 46, 68, 64, 65, 63, 114, 109, 110, 111]
[17, 26, 42, 48, 137, 125, 78, 122, 56, 133, 121, 120, 38, 91, 124]
[61, 75, 133, 155, 164, 32, 22, 83, 60, 120, 56, 80, 47, 153, 5]
[30, 119, 52, 108, 68, 65, 114, 118, 109, 110, 111, 47, 149, 101, 44]
[17, 125, 48, 88, 130, 92, 121, 120, 124, 38, 49, 89, 91, 86, 70]
[93, 49, 92, 89, 94, 173, 67, 70, 98, 128, 116, 147, 62, 18, 121]
[9, 62, 42, 48, 88, 92, 122, 121, 120, 124, 81, 15, 86, 54, 37]
[16, 119, 108, 46, 113, 65, 64, 63, 50, 114, 118, 109, 110, 111, 47]
[112, 68, 52, 46, 108, 64, 107, 113, 63, 109, 110, 118, 50, 73, 101]
[127, 62, 9, 78, 137, 88, 48, 56, 133, 121, 120, 124, 38, 91, 49]
[131, 164, 138, 155, 31, 141, 8, 77, 83, 60, 158, 35, 84, 136, 124]
[18, 17, 134, 9, 137, 122, 133, 121, 120, 124, 38, 91, 49, 89, 93]
[112, 68, 107, 65, 114, 73, 50, 118, 109, 111, 110, 101, 47, 44, 149]
[127, 134, 17, 26, 18, 62, 42, 88, 133, 92, 56, 122, 120, 81, 15]
[28, 52, 46, 108, 113, 63, 73, 109, 118, 111, 101, 47, 44, 149, 92]
[60, 173, 67, 95, 146, 147, 123, 85, 117, 139, 155, 77, 83, 94, 143]
[76, 90, 87, 166, 96, 79, 104, 58, 44, 149, 135, 129, 136, 97, 111]
[131, 22, 32, 170, 6, 78, 158, 35, 84, 80, 153, 139, 96, 69, 135]
[93, 101, 55, 49, 147, 38, 89, 85, 70, 139, 77, 117, 98, 86, 92]
[30, 52, 16, 112, 28, 108, 107, 73, 113, 46, 119, 50, 68, 44, 64]
[26, 42, 137, 88, 130, 92, 122, 133, 120, 124, 91, 38, 49, 89, 86]
