[119, 110, 129, 68, 64, 73, 150, 152, 149, 44, 135, 61, 136, 78, 127]
[43, 173, 172, 171, 117, 141, 151, 146, 147, 93, 116, 106, 83, 115, 138]
[17, 62, 18, 137, 42, 130, 70, 38, 86, 101, 49, 94, 98, 95, 91]
[111, 109, 110, 28, 68, 16, 150, 152, 149, 44, 61, 135, 136, 66, 6]
[155, 85, 32, 166, 141, 3, 170, 81, 36, 161, 19, 139, 61, 77, 120]
[90, 166, 96, 104, 152, 149, 150, 44, 135, 61, 136, 142, 84, 66, 6]
[59, 7, 136, 150, 56, 141, 148, 78, 161, 19, 61, 1, 140, 12, 168]
[27, 100, 105, 96, 163, 149, 152, 150, 66, 6, 84, 167, 142, 61, 136]
[27, 87, 96, 58, 149, 152, 150, 167, 66, 6, 84, 142, 61, 80, 39]
[9, 78, 137, 42, 124, 38, 70, 86, 49, 101, 94, 98, 91, 95, 55]
[26, 88, 56, 130, 120, 38, 70, 86, 49, 101, 94, 98, 91, 95, 55]
[95, 49, 91, 93, 9, 48, 17, 26, 121, 18, 62, 42, 78, 134, 133]
[101, 91, 70, 106, 128, 38, 86, 116, 49, 145, 77, 149, 152, 150, 153]
[48, 88, 42, 125, 137, 134, 124, 120, 38, 70, 86, 49, 101, 94, 98]
[95, 55, 9, 48, 17, 26, 121, 42, 18, 62, 89, 134, 78, 133, 122]
[26, 18, 42, 134, 124, 133, 120, 38, 70, 101, 86, 49, 94, 98, 91]
[108, 113, 63, 129, 68, 16, 50, 150, 152, 149, 44, 135, 61, 136, 78]
[90, 100, 87, 163, 58, 149, 152, 167, 66, 6, 84, 142, 150, 80, 39]
[109, 112, 107, 129, 28, 73, 50, 44, 150, 152, 149, 135, 61, 136, 9]
[87, 76, 163, 58, 149, 152, 150, 61, 66, 6, 84, 167, 142, 135, 136]
[26, 17, 62, 121, 125, 130, 38, 70, 86, 101, 49, 94, 98, 91, 95]
[101, 55, 38, 70, 86, 115, 43, 49, 147, 155, 148, 143, 72, 53, 97]
[152, 165, 158, 80, 39, 60, 36, 139, 154, 15, 54, 69, 22, 11, 1]
[137, 98, 91, 93, 9, 48, 17, 26, 121, 18, 62, 42, 78, 134, 133]
[116, 44, 172, 173, 171, 146, 95, 141, 98, 94, 93, 61, 135, 144, 67]
[38, 55, 86, 9, 48, 17, 26, 42, 18, 62, 121, 134, 172, 171, 173]
[119, 46, 107, 28, 16, 64, 73, 44, 150, 152, 149, 135, 61, 136, 106]
[88, 134, 127, 133, 120, 38, 70, 49, 86, 101, 94, 98, 91, 95, 55]
[5, 123, 151, 136, 143, 166, 81, 170, 77, 69, 54, 45, 157, 130, 132]
[114, 119, 113, 63, 16, 64, 150, 152, 149, 44, 61, 135, 136, 66, 6]
[92, 48, 17, 125, 122, 134, 137, 133, 38, 70, 86, 49, 101, 94, 98]
[94, 88, 49, 55, 93, 9, 48, 17, 26, 121, 18, 42, 62, 89, 78]
[48, 17, 62, 121, 127, 133, 38, 70, 86, 49, 101, 94, 98, 91, 95]
[118, 46, 28, 68, 64, 73, 50, 44, 150, 152, 149, 135, 61, 136, 106]
[111, 118, 112, 28, 73, 44, 150, 152, 149, 135, 61, 136, 106, 66, 6]
[62, 18, 78, 122, 56, 127, 124, 120, 38, 101, 49, 70, 94, 98, 86]
[146, 82, 21, 29, 127, 105, 153, 148, 3, 154, 15, 83, 138, 57, 43]
[9, 92, 122, 42, 134, 130, 38, 70, 86, 49, 101, 94, 98, 91, 95]
[30, 110, 113, 63, 107, 16, 64, 50, 150, 44, 152, 149, 135, 61, 136]
[88, 62, 18, 122, 42, 130, 120, 38, 70, 86, 101, 49, 94, 98, 91]
[65, 112, 46, 68, 73, 50, 44, 150, 152, 149, 135, 61, 136, 106, 101]
[173, 171, 172, 117, 141, 146, 147, 123, 106, 116, 93, 115, 83, 138, 85]
[103, 163, 166, 105, 104, 76, 44, 129, 106, 13, 0, 4, 14, 10, 2]
[31, 162, 145, 131, 150, 143, 45, 157, 11, 22, 140, 12, 168, 122, 83]
[101, 70, 38, 60, 86, 49, 83, 85, 138, 149, 152, 150, 153, 131, 53]
[117, 115, 47, 136, 52, 173, 172, 171, 108, 65, 114, 30, 146, 141, 109]
[92, 26, 88, 18, 56, 127, 38, 70, 86, 49, 101, 94, 98, 91, 95]
